,city,lon,lat,country,max temp,pressure,humidity,wind speed,cloudiness,date_in
0,Port Elizabeth,25.5701,-33.918,ZA,65.1,1024,77,11.5,20,1634661545
1,Khatanga,102.5,71.9667,RU,29.37,998,93,14.61,100,1634661825
2,Busselton,115.3333,-33.65,AU,55.04,1003,73,25.88,100,1634661825
3,George Town,100.3354,5.4112,MY,78.75,1014,93,5.01,40,1634661826
4,Upernavik,-56.1549,72.7868,GL,34.5,1018,66,14.72,100,1634661826
5,Vaini,-175.2,-21.2,TO,73.56,1018,78,10.36,40,1634661827
6,Ancud,-73.8203,-41.8697,CL,67.53,1016,74,6.29,5,1634661764
7,New Norfolk,147.0587,-42.7826,AU,40.71,1027,67,1.12,35,1634661552
8,Lavrentiya,-171.0,65.5833,RU,28.13,984,94,23.31,100,1634661827
9,Umm Hājar,19.6966,13.2954,TD,93.52,1006,17,5.66,61,1634661828
10,Kapaa,-159.319,22.0752,US,73.72,1020,89,16.11,75,1634661829
11,Tabas,56.9244,33.5959,IR,74.37,1012,15,5.14,0,1634661829
12,Touros,-35.4608,-5.1989,BR,90.5,1011,59,15.17,73,1634661829
13,Thompson,-97.8558,55.7435,CA,35.76,1025,69,9.22,75,1634661548
14,Nieves,120.9485,15.3274,PH,74.88,1013,90,2.21,2,1634661830
15,Avarua,-159.775,-21.2078,CK,64.45,1015,94,1.14,86,1634661831
16,Asău,26.4,46.4333,RO,50.92,1026,73,1.41,83,1634661737
17,Laas,10.7002,46.6166,IT,62.06,1027,74,2.15,99,1634661831
18,Lorengau,147.2712,-2.0226,PG,81.81,1010,79,8.97,67,1634661615
19,Punta Arenas,-70.9167,-53.15,CL,62.71,1001,48,19.57,75,1634661638
20,Garoowe,48.4845,8.4054,SO,80.55,1012,59,21.3,4,1634661832
21,Paciran,112.3761,-6.8767,ID,80.87,1013,79,6.69,98,1634661833
22,Chiang Klang,100.8617,19.2938,TH,72.03,1016,98,1.12,100,1634661833
23,Rikitea,-134.9692,-23.1203,PF,74.71,1024,72,21.47,5,1634661542
24,Karditsa,21.9217,39.3656,GR,64.04,1027,74,1.28,23,1634661834
25,Bandarbeyla,50.8122,9.4942,SO,78.91,1013,85,10.51,7,1634661834
26,Fort-Shevchenko,50.263,44.5086,KZ,57.06,1017,78,11.52,98,1634661835
27,Cape Town,18.4232,-33.9258,ZA,68.41,1019,60,3.0,0,1634661824
28,Butaritari,172.7902,3.0707,KI,82.2,1011,67,8.52,34,1634661835
29,Hong Kong,114.1577,22.2855,HK,80.33,1016,78,1.99,70,1634661768
30,Dikson,80.5464,73.5069,RU,27.25,1001,57,12.97,100,1634661836
31,Hobart,147.3294,-42.8794,AU,41.05,1025,87,1.01,53,1634661739
32,Mataura,168.8643,-46.1927,NZ,40.41,1029,67,2.82,95,1634661551
33,Einsiedeln,8.75,47.1167,CH,56.05,1024,72,3.49,84,1634661837
34,Tuktoyaktuk,-133.0374,69.4541,CA,19.4,1011,100,8.05,90,1634661543
35,Belmonte,-38.8828,-15.8631,BR,82.9,1012,64,9.75,93,1634661677
36,Alice Springs,133.8833,-23.7,AU,83.75,1013,28,6.91,64,1634661808
37,Santo Tomas,121.1414,14.1079,PH,81.55,1013,93,5.21,6,1634661838
38,Esperance,121.9,-33.8667,AU,62.44,999,55,27.34,60,1634661539
39,Longyearbyen,15.6401,78.2186,SJ,15.64,1022,73,11.5,20,1634661559
40,Saldanha,17.9442,-33.0117,ZA,78.85,1015,63,14.43,0,1634661839
41,Shimoda,138.95,34.6667,JP,56.1,1006,74,21.77,69,1634661677
42,Mayo,-76.5119,38.8876,US,71.08,1014,49,5.99,1,1634661695
43,Kirkwall,-2.9587,58.9848,GB,55.74,992,97,8.05,75,1634661840
44,Hermanus,19.2345,-34.4187,ZA,64.8,1020,69,14.65,0,1634661579
45,East London,27.9116,-33.0153,ZA,65.34,1026,63,13.8,20,1634661840
46,Cherskiy,161.3,68.75,RU,-13.85,1009,100,3.6,98,1634661562
47,Jamestown,-79.2353,42.097,US,64.09,1018,57,5.99,40,1634661744
48,Klaksvík,-6.589,62.2266,FO,50.92,989,97,6.44,95,1634661841
49,Provideniya,-173.3,64.3833,RU,31.62,979,95,9.71,100,1634661679
50,Port Keats,129.55,-14.25,AU,82.62,1011,77,10.67,74,1634661842
51,Kousséri,15.0306,12.0769,CM,98.56,1005,25,3.44,88,1634661842
52,Ambilobe,49.05,-13.2,MG,75.52,1017,68,2.37,78,1634661843
53,Soligalich,42.2864,59.0778,RU,33.76,1012,88,5.21,93,1634661843
54,Saint Paul Harbor,-152.4072,57.79,US,42.31,990,87,9.22,90,1634661844
55,Biak,122.8766,-0.9131,ID,77.13,1012,83,3.44,87,1634661844
56,Albany,-73.9662,42.6001,US,61.81,1011,52,1.99,6,1634661845
57,Santiago del Estero,-64.2615,-27.7951,AR,81.81,1016,18,10.09,0,1634661845
58,Chokurdakh,147.9167,70.6333,RU,-7.62,1011,97,6.38,100,1634661778
59,Mar del Plata,-57.5575,-38.0023,AR,69.82,1022,46,13.8,0,1634661621
60,Port Macquarie,152.9167,-31.4333,AU,60.89,1015,91,11.45,69,1634661846
61,Sarakhs,61.1577,36.5449,IR,64.54,1015,32,0.0,0,1634661846
62,Port Alfred,26.891,-33.5906,ZA,62.02,1025,73,14.67,0,1634661847
63,Kirensk,108.1119,57.7853,RU,34.2,1026,98,4.59,100,1634661847
64,Padang,100.3543,-0.9492,ID,77.05,1014,88,4.36,100,1634661848
65,Hartland,-88.342,43.105,US,70.88,1017,56,1.01,77,1634661641
